,Toronto,Ward 1,Ward 2,Ward 3,Ward 4,Ward 5,Ward 6,Ward 7,Ward 8,Ward 9,Ward 10,Ward 11,Ward 12,Ward 13,Ward 14,Ward 15,Ward 16,Ward 17,Ward 18,Ward 19,Ward 20,Ward 21,Ward 22,Ward 23,Ward 24,Ward 25,Ward 26,Ward 27,Ward 28,Ward 29,Ward 30,Ward 31,Ward 32,Ward 33,Ward 34,Ward 35,Ward 36,Ward 37,Ward 38,Ward 39,Ward 40,Ward 41,Ward 42,Ward 43,Ward 44,Etobicoke York ,North York,Scarborough,Toronto and East York 
2016_Owned,587085,9920,11700,14280,12630,19050,17390,10075,6835,8570,12305,12735,9225,13885,8020,11705,13470,11950,9990,16710,19395,9245,14110,25760,16480,15035,10600,18645,13910,10370,13720,11745,15010,12330,9650,12200,12815,13705,14300,13765,13480,16570,16570,10580,16615,142850,142760,140600,160865
2016_Rental,525825,8385,7765,5780,9155,11415,15195,7140,10785,8195,14190,12165,10855,11485,18450,12165,7935,7810,12600,16960,33045,12925,22330,16040,9305,8550,14825,32250,27890,9765,9840,10325,10585,10470,13955,11655,8320,9345,10385,3580,10660,3295,5555,9080,3415,107145,126410,75295,216965
2016_couples_with_children,250085,3680,4300,4840,5420,7745,7705,3445,2835,3545,6115,4525,3715,6275,5335,4650,4870,4640,5350,8660,11680,5105,8625,10060,6875,5800,4900,11050,9130,4540,5600,4600,5630,5485,4655,4410,4375,4865,5425,4920,5480,5605,4460,4115,5050,56280,59790,48700,85310
2016_lone_parent_with_children,151960,4285,4200,3085,3145,3240,3665,4540,4850,3735,3930,5240,4895,2560,2375,4120,1845,3065,2230,2260,2770,2185,2350,4430,3120,2385,3155,2420,3340,2135,2850,3045,3090,3285,4245,4405,3530,4320,4340,3220,3950,3755,4860,4120,3400,41910,39100,39895,31050
2016_English,1370490,25355,26530,27405,29570,38885,40530,22200,22740,18700,26945,31875,24190,37080,33635,28935,39780,24015,27595,41590,54930,32340,46305,29995,19660,34345,27680,49475,41625,28130,36805,31360,45445,18590,28765,30355,34950,29935,28685,12390,22890,15165,34180,30765,38175,327635,296125,277485,469245
2016_French,33965,340,425,550,440,1080,1020,215,340,240,580,620,290,1075,1035,535,725,630,725,1250,2400,760,1400,795,515,920,740,2145,1830,760,1140,830,1355,510,945,635,645,495,530,220,575,145,470,595,480,6690,6845,4795,15640
2016_Other,1184015,30955,26925,22915,23540,27675,23225,28155,24390,24690,37340,26970,26680,16720,16555,28870,13075,24025,19620,20680,31225,13455,18060,62440,41020,21870,35235,31610,28415,14945,15170,19365,10575,39185,25950,30195,16530,31405,34575,38310,37100,47330,37595,20380,19085,277790,354065,312495,239670
2016_no certificate,377335,13270,10400,6515,7500,6825,8500,13840,12055,12180,7030,13960,14050,4585,6180,11300,3870,12690,9030,7390,5880,4345,3195,7155,5595,4370,8805,3690,6655,6195,7365,7520,5640,6425,7760,10545,8120,11370,10330,10600,10300,14815,12845,9215,7425,112130,86555,105570,73085
2016_high school,561090,14750,14280,11575,12130,12845,14215,12810,12345,10880,14190,15155,12820,8200,9950,13180,7970,10720,9550,10625,14135,7830,9755,17990,11880,9545,12830,16190,13160,8465,9545,11145,10045,12065,12715,15390,12995,16735,16980,13380,15115,17215,20200,13285,14335,139500,135580,155620,130395
2016_post_secondary,1356360,20630,21875,26550,27150,40010,35780,16280,16180,15565,36605,22440,17345,34425,29820,26380,32340,20025,25465,41865,65360,29105,46770,60420,38680,35800,31340,60060,47565,23600,28840,25805,32295,33710,28510,26845,23755,26110,29235,21825,28935,24255,29525,22070,29200,282515,355530,261750,456565
