reportedyear,crime,Neighbourhood,Lat,Long
2014,Robbery,North Riverdale (68),43.6684494,-79.3430939
2014,Break and Enter,Black Creek (24),43.759285,-79.5079269
2014,Assault,Brookhaven-Amesbury (30),43.6975517,-79.5016632
2014,Assault,Rexdale-Kipling (4),43.7217026,-79.5715103
2014,Assault,Lambton Baby Point (114),43.6638908,-79.5034866
2014,Assault,Moss Park (73),43.6573067,-79.3734589
2014,Assault,Woodbine Corridor (64),43.6663628,-79.3166046
2014,Assault,University (79),43.6581116,-79.4020233
2014,Assault,University (79),43.6581116,-79.4020233
2014,Assault,University (79),43.6581116,-79.4020233
2014,Assault,University (79),43.6581116,-79.4020233
2014,Assault,University (79),43.6581116,-79.4020233
2014,Assault,University (79),43.6581116,-79.4020233
2014,Assault,Bathurst Manor (34),43.768856,-79.4669266
2014,Assault,Malvern (132),43.8078041,-79.2155991
2014,Break and Enter,High Park-Swansea (87),43.641552,-79.4745407
2014,Assault,Taylor-Massey (61),43.6951332,-79.3034821
2014,Assault,Black Creek (24),43.7604637,-79.5097809
2014,Assault,Regent Park (72),43.65588,-79.3632202
2014,Robbery,Church-Yonge Corridor (75),43.6639061,-79.3841553
2014,Break and Enter,Kensington-Chinatown (78),43.6500702,-79.3968811
2014,Assault,Church-Yonge Corridor (75),43.66465,-79.3805237
2014,Assault,Birchcliffe-Cliffside (122),43.699131,-79.2543335
2014,Theft Over,Humbermede (22),43.7494888,-79.5327911
2014,Break and Enter,South Riverdale (70),43.6724319,-79.3341904
2014,Assault,Bendale (127),43.7736168,-79.2611313
2014,Assault,Oakwood Village (107),43.6878204,-79.4349365
2014,Assault,Bay Street Corridor (76),43.6580772,-79.3847122
2014,Assault,Waterfront Communities-The Island (77),43.6449547,-79.397644
2014,Assault,Black Creek (24),43.7659111,-79.5196915
2014,Assault,Black Creek (24),43.7659111,-79.5196915
2014,Assault,Bendale (127),43.7496948,-79.2644653
2014,Robbery,Black Creek (24),43.7637062,-79.5136261
2014,Theft Over,St.Andrew-Windfields (40),43.7564392,-79.3607712
2014,Break and Enter,Cabbagetown-South St.James Town (71),43.663723,-79.3705215
2014,Assault,West Hill (136),43.7666092,-79.1856613
2014,Assault,Oakridge (121),43.6943665,-79.2736511
